user,assistant
စိတ်ဖိစီးမှုများနေပါတယ်,စိတ်ဖိစီးမှု ခံစားနေရတာ နားလည်ပါတယ်။ သင့်ရဲ့ ခံစားချက်တွေကို ပြောပြခြင်းက အရေးကြီးပါတယ်။ ဘာကြောင့် ဖိစီးမှုခံစားနေရလဲ ပြောပြနိုင်မလား။
ညဘက် အိပ်မပျောက်ဘူး,အိပ်ရေးပြဿနာက စိတ်ကျန်းမာရေးကို ထိခိုက်စေနိုင်ပါတယ်။ အိပ်ခါနီးမှာ ဖုန်းသုံးတာကို ရပ်ကြည့်ပါ။ နက်နဲစွာ အသက်ရှူ့ခြင်းလည်း အထောက်အကူ ဖြစ်နိုင်ပါတယ်။
အလုပ်က အရမ်းဖိစီးမှုပေးတယ်,အလုပ်ဖိစီးမှုက များသောလူတွေ ကြုံရပါတယ်။ နားချိန်ယူပြီး အားလပ်ရက်မှာ စိတ်ကြိုက်လုပ်ချင်တာလုပ်ကြည့်ပါ။ သင့်ကျန်းမာရေးက အရေးကြီးဆုံးပါ။
စိုးရိမ်စိတ် အမြဲရှိနေတယ်,စိုးရိမ်စိတ်က ခန္ဓာကိုယ်နဲ့ စိတ်နှစ်ခုစလုံးကို ပင်ပန်းစေပါတယ်။ Mindfulness လေ့ကျင့်ခြင်း၊ အသက်ရှူ့ခြင်း နည်းလမ်းတွေ စမ်းကြည့်နိုင်ပါတယ်။
ခေါင်းကိုက်ပြီး အိပ်မရဘူး,စိတ်ဖိစီးမှုက ခေါင်းကိုက်ခြင်းနှင့် အိပ်ရေးပြဿနာ ဖြစ်စေတတ်ပါတယ်။ ရေသောက်ပါ၊ လေလှုပ်ရှားတဲ့နေရာမှာ နားပါ။ အနားယူချိန် လိုအပ်ပါတယ်။
ဘာမှ စိတ်မဝင်စားတော့ဘူး,စိတ်မဝင်စားခြင်းက စိတ်ဓာတ်ကျရောဂါ လက္ခဏာတစ်ခု ဖြစ်နိုင်ပါတယ်။ အရင်ကြိုက်တဲ့ အရာတွေကို ပြန်လုပ်ကြည့်ပါ။ အကူအညီ တောင်းခြင်းက အားနည်းခြင်း မဟုတ်ပါဘူး။
အားမရဘူး ဘာမှမလုပ်ချင်ဘူး,စွမ်းအင်ကုန်နေတာက စိတ်ကျန်းမာရေး ပြဿနာ ဖြစ်နိုင်ပါတယ်။ အသေးငယ်ဆုံး ပန်းတိုင်တွေကို စတင်ပါ။ လမ်းလျှောက်ခြင်း၊ နေရောင်ထိတွေ့ခြင်း စတာတွေက အထောက်အကူ ဖြစ်နိုင်ပါတယ်။
ငါ့ကိုယ်ငါ တန်ဖိုးမရှိဘူး ထင်တယ်,မိမိကိုယ်ကို တန်ဖိုးမထားခြင်းက နာကျင်စေပါတယ်။ သင်သည် အထူးဖြစ်ပြီး တန်ဖိုးရှိပါတယ်။ သင့်ရဲ့ ကောင်းတဲ့အရည်အသွေးတွေကို စာရင်းလုပ်ကြည့်ပါ။
မကြာခဏ ငိုချင်နေတယ်,ငိုချင်တဲ့ခံစားချက်က သင့်ရဲ့ စိတ်ခံစားမှုတွေကို ဖော်ပြနေတာပါ။ ငိုခြင်းက မှားတာမဟုတ်ဘူး၊ ကျန်းမာပါတယ်။ သင့်ခံစားချက်တွေကို ထုတ်ဖော်ခွင့် ရှိပါတယ်။
ဘဝမှာ အဓိပ္ပာယ်မရှိဘူး,ဘဝက အဓိပ္ပာယ်မရှိဘူး ခံစားရတာ စိတ်ဓာတ်ကျစေပါတယ်။ သေးသေးလေးတွေကနေ စပါ - တစ်နေ့မှာ ပျော်ရွှင်စရာ တစ်ခုခု ရှာကြည့်ပါ။
မိသားစုနဲ့ ပြဿနာဖြစ်နေတယ်,မိသားစုပြဿနာက စိတ်ဓာတ်ကို ကျစေပါတယ်။ သင့်ခံစားချက်ကို သူတို့နှင့် တိတိကျကျ ပြောဆိုကြည့်ပါ။ အချိန်ယူပြီး နားလည်မှု တည်ဆောက်ကြည့်ပါ။
အဖေနဲ့ အမြဲ ရန်ဖြစ်တယ်,မိဘနှင့် ပဋိပက္ခက ဆယ်ကျော်သက်များအတွက် ပုံမှန်ပါ။ ဒေါသမထွက်ဘဲ သင့်ခံစားချက်ကို ရှင်းပြကြည့်ပါ။ သူတို့လည်း သင့်ကို ဂရုစိုက်တဲ့အတွက် စိုးရိမ်တာပါ။
ညီအစ်ကိုနဲ့ နှိုင်းယှဉ်ခံရတယ်,မိသားစုထဲမှာ နှိုင်းယှဉ်ခံရတာက စိတ်ထိခိုက်စေပါတယ်။ သင်က ထူးခြားတဲ့ လူတစ်ဦး ဖြစ်ပါတယ်။ သင့်မှာ သင့်ကိုယ်ပိုင် အရည်အချင်းတွေ ရှိပါတယ်။
ရည်းစားနဲ့ လမ်းခွဲလိုက်တယ်,ဆက်ဆံရေး ပြတ်တောက်ခြင်းက နာကျင်စေပါတယ်။ ဝမ်းနည်းခွင့်ရှိပါတယ်။ အချိန်က အနာကို ပျောက်စေပါမယ်။ သူငယ်ချင်းတွေနှင့် အချိန်ဖြုန်းပါ။
ငါ့ကို ဘယ်သူမှ မနားလည်ဘူး,နားလည်ပေးမခံရတာ အထီးကျန်စေပါတယ်။ သို့သော် သင့်ကို နားလည်ပေးမယ့်သူတွေ ရှိပါတယ်။ သင့်ခံစားချက်တွေကို ရေးထားကြည့်ပါ။
ကျောင်းစာတွေ အရမ်းခက်တယ်,ကျောင်းစာဖိစီးမှုက များသောကျောင်းသားတွေ ကြုံရတာပါ။ အချိန်စီမံခန့်ခွဲမှု ကောင်းအောင်လုပ်ပြီး လိုအပ်ရင် ဆရာများကို အကူအညီတောင်းပါ။
စာမေးပွဲကြောင့် စိတ်ဖိစီးနေတယ်,စာမေးပွဲ စိုးရိမ်မှုက ပုံမှန်ပါ။ ကောင်းကောင်း ပြင်ဆင်ပြီး လုံလောက်အောင် အိပ်ပါ။ အကောင်းဆုံး ကြိုးစားတာက အရေးကြီးပါတယ်။ ရလဒ်တစ်ခုတည်းနဲ့ သင့်တန်ဖိုး မတိုင်းပါဘူး။
အလုပ်မရှာတော့ စိတ်ပျက်နေတယ်,အလုပ်ရှာနေတာ စိတ်ပျက်စရာကောင်းပါတယ်။ သို့သော် ဆက်ကြိုးစားပါ။ သင့်အရည်အချင်းတွေကို တိုးတက်အောင် လုပ်ပါ။ အခွင့်အလမ်းက လာမှာပါ။
သူတို့က ငါ့ကို အလုပ်ကနေ ထုတ်လိုက်တယ်,အလုပ်ပျက်တာက စိတ်ဓာတ်ကျစေပါတယ်။ ဒါပေမယ့် ဒါက သင့်တန်ဖိုး မဟုတ်ပါဘူး။ အချိန်ယူပြီး အသစ်တွေ စဉ်းစားကြည့်ပါ။
အလုပ်ချိန်တွေ အရမ်းရှည်တယ်,အလုပ်များခြင်းက စိတ်ရောကိုယ်ပါ ပင်ပန်းစေပါတယ်။ Work-life balance အရေးကြီးပါတယ်။ ချုပ်ကိုင်သူနဲ့ ပြောဆိုကြည့်ပါ။
ငါ့မျက်နှာက အရုပ်ဆိုးတယ်,ကိုယ့်ပုံစံကို မကြိုက်တာ များသူများ ခံစားရပါတယ်။ အလှအပက အပြင်ပန်းတစ်ခုတည်း မဟုတ်ပါဘူး။ သင့်ရဲ့ စရိုက်လက္ခဏာနဲ့ စိတ်နှလုံးက ပို အရေးကြီးပါတယ်။
ငါ့ကိုယ်ငါ ယုံကြည်မှုမရှိဘူး,ကိုယ့်ကိုယ်ကို ယုံကြည်မှုက တည်ဆောက်ရပါတယ်။ သင့်ရဲ့ အောင်မြင်မှုတွေကို မှတ်သားပါ။ သေးသေးလေးတောင် အောင်မြင်မှုပါ။
ငါက အရာရာမှာ မကောင်းဘူး,ကိုယ့်ကိုယ်ကို ဝေဖန်ခြင်းက အထီးကျန်စေပါတယ်။ သင်မှာ အရည်အချင်းတွေ သေချာ ရှိပါတယ်။ သင် ကောင်းတဲ့အရာတွေကို စာရင်းလုပ်ကြည့်ပါ။
သူတို့က ငါ့ကို လှောင်ပြောင်တယ်,အနိုင်ကျင့်ခံရခြင်းက ဘယ်တော့မှ အဆင်ပြေတာ မဟုတ်ပါဘူး။ သင့်အမှားမဟုတ်ပါဘူး။ ယုံကြည်ရသူကို ပြောပါ။ သင် တစ်ဦးတည်း မဟုတ်ပါဘူး။
ငါ့ကိုယ်ငါ မုန်းနေပြီ,မိမိကိုယ်ကို မုန်းတီးမှုက အလွန်နာကျင်စေသော ခံစားချက်ပါ။ သင်သည် ချစ်ခြင်းမေတ္တာနှင့် လေးစားမှု ထိုက်တန်ပါတယ်။ ကျွမ်းကျင်သူနှင့် စကားပြောကြည့်ပါ။
သူငယ်ချင်းတွေ မရှိဘူး,သူငယ်ချင်းမရှိခြင်းက အထီးကျန်စေပါတယ်။ စိတ်ဝင်စားတဲ့ အသင်းအဖွဲ့တွေ ပါဝင်ကြည့်ပါ။ ချစ်ခင်ရတဲ့ သူငယ်ချင်းရဖို့ အချိန်ယူရပါတယ်။
တစ်ကိုယ်တည်း ခံစားရတယ်,တစ်ကိုယ်တည်းဖြစ်နေရတာ နာကျင်စေပါတယ်။ သို့သော် သင် တစ်ဦးတည်း မဟုတ်ပါဘူး။ အထောက်အပံ့ရနိုင်တဲ့ လူတွေ၊ အဖွဲ့အစည်းတွေ ရှိပါတယ်။
လူတွေကြားမှာ ရှိပေမယ့် အထီးကျန်နေသလိုပဲ,စုပေါင်းနေရာမှာ တောင် အထီးကျန်နေခြင်းက ပို နာကျင်ပါတယ်။ တကယ့် ဆက်သွယ်မှုက နက်နဲရပါမယ်။ ရင်းနှီးတဲ့ သူငယ်ချင်းနဲ့ ရိုးရိုးသားသား စကားပြောကြည့်ပါ။
အဖွားကို ဆုံးရှုံးသွားပြီ,ချစ်ခင်ရသူ ဆုံးရှုံးခြင်းက အလွန်နာကျင်စေပါတယ်။ သင့်ရဲ့ ဝမ်းနည်းခြင်းက အချိန်ယူပါလိမ့်မယ်။ ငိုချင်ရင် ငိုပါ။ သူတို့ကို အမှတ်ရခြင်းက ကောင်းပါတယ်။
အမေကို သိပ်လွမ်းနေတယ်,မိခင်ကို လွမ်းခြင်းက သဘာဝကျပါတယ်။ သင့်ခံစားချက်တွေကို ထုတ်ဖော်ပါ။ သူမရဲ့ အမှတ်တရတွေကို မျှဝေခြင်းက အထောက်အကူ ဖြစ်နိုင်ပါတယ်။
ငါ့ခွေးက သေသွားတယ်,အိမ်မွေးတိရစ္ဆာန် ဆုံးရှုံးခြင်းက အစစ်အမှန် ဝမ်းနည်းမှုပါ။ သူတို့က မိသားစုဝင် ဖြစ်ပါတယ်။ သင့်ဝမ်းနည်းခြင်းက တရားဝင်ပါတယ်။
ဒေါသကို ထိန်းချုပ်လို့ မရဘူး,ဒေါသ ထိန်းချုပ်ရခက်တာ နားလည်ပါတယ်။ ဒေါသထွက်လာတဲ့အခါ အသက်ရှူ့ပါ၊ ခဏထွက်ခွာပါ။ ဒေါသက သင့်ကို မထိန်းချုပ်ပါစေနဲ့။
ဘာအကြောင်းမဆို ဒေါသထွက်တယ်,အမြဲတမ်း ဒေါသထွက်ခြင်းက အခြားစိတ်ဖိစီးမှုတွေရဲ့ လက္ခဏာ ဖြစ်နိုင်ပါတယ်။ ဘာက သင့်ကို တကယ် ထိခိုက်နေသလဲ ရှာကြည့်ပါ။
လူတွေကြားမှာ စိုးရိမ်တယ်,လူမှုစိုးရိမ်စိတ်က များသောလူတွေ ခံစားရပါတယ်။ သေးသေးလေးကနေ စပါ - အနီးစပ်ဆုံးသူတွေနှင့် အရင် စကားပြောပါ။
ပရိသတ်ရှေ့ပြောရတာ ကြောက်တယ်,လူအများရှေ့ ပြောဆိုရခြင်းကို ကြောက်ရွံ့တာက များပါတယ်။ လေ့ကျင့်ခြင်းက အဓိက သော့ချက်ပါ။ သေးသေးလေး စတင်ကြည့်ပါ။
ဖုန်းခေါ်ရတာတောင် ကြောက်တယ်,ဖုန်းစိုးရိမ်မှုက ယခုခေတ်မှာ ဖြစ်နေပါတယ်။ စာသားပို အဆင်ပြေရင် အဲဒါသုံးပါ။ သို့သော် တဖြည်းဖြည်း ဖုန်းခေါ်ရတာကို စိန်ခေါ်ကြည့်ပါ။
ကိုယ်အလေးချိန် အရမ်းစိုးရိမ်နေတယ်,ကိုယ်အလေးချိန် စိုးရိမ်မှုက များပါတယ်။ ကျန်းမာရေးက အရေးကြီးပါတယ်။ ကိုယ်ပုံသဏ္ဍာန် တစ်ခုထဲ မဟုတ်ပါဘူး။ ကျန်းမာတာ အရေးကြီးဆုံးပါ။
စားရတာ ဒေါသထွက်တယ်,အစားအသောက်နဲ့ ပတ်သက်ပြီး ခက်ခဲတဲ့ ဆက်ဆံရေးက စိုးရိမ်စရာပါ။ ဒါက ကျန်းမာရေး ပြဿနာပါ။ အထူးကု ဆရာဝန်ဆီ သွားသင့်ပါတယ်။
Social media ကြောင့် စိတ်ဓာတ်ကျတယ်,Social media က နှိုင်းယှဉ်မှုနဲ့ စိတ်ဓာတ်ကျစေနိုင်ပါတယ်။ အချိန်ကန့်သတ်ပါ။ လူတွေရဲ့ အကောင်းဆုံးပိုင်းကိုပဲ မြင်နေတာ သတိရပါ။
ဖုန်းကို အချိန်တိုင်းကြည့်နေမိတယ်,ဖုန်းစွဲလမ်းမှုက များနေပါပြီ။ ဖုန်းမသုံးတဲ့ အချိန်တွေ သတ်မှတ်ပါ။ တခြားစိတ်ဝင်စားစရာတွေ ရှာကြည့်ပါ။
I feel very anxious,Anxiety can be overwhelming. It's okay to feel this way. Try taking deep breaths and focus on the present moment. What's making you anxious right now?
အခုပဲ အလုပ်ပျက်သွားတယ်,အလုပ်ပျက်တာက အရမ်း စိတ်ဓာတ်ကျစေတဲ့ အရာပါ။ သင့်ရဲ့ တန်ဖိုးက အလုပ်တစ်ခုနဲ့ မတိုင်းတာနိုင်ပါဘူး။ အချိန်ယူပြီး အခွင့်အလမ်းသစ်တွေ ရှာကြည့်ပါ။
ကျောင်းစာတွေ အရမ်းစိတ်ဖိစီးမှုပေးတယ်,ကျောင်းစာဖိစီးမှုက ကျောင်းသားတိုင်း ကြုံရတတ်ပါတယ်။ အချိန်စီမံခန့်ခွဲမှု လုပ်ကြည့်ပါ။ တစ်ခုချင်း စီ ပြီးအောင် လုပ်ပါ။ ဆရာများကို အကူအညီ တောင်းနိုင်ပါတယ်။
I can't stop thinking negative thoughts,Negative thoughts can feel like a loop. Try writing them down and questioning them. Are they based on facts or fears? You have more control than you think.
ငါ့ကို ဘယ်သူမှ မကြိုက်ဘူး ထင်တယ်,သင့်ကိုယ်သင် ယုံကြည်မှု နည်းနေတာ နားလည်ပါတယ်။ သို့သော် သင့်ရဲ့ တန်ဖိုးက တခြားသူတွေရဲ့ အမြင်ကို မမူတည်ပါဘူး။ သင့်ကိုယ်သင် ချစ်ခြင်းမေတ္တာ ထားပါ။
ဘာလုပ်ရမှန်းမသိတော့ဘူး,ရှုပ်ထွေးနေတဲ့အချိန်မှာ ဘာလုပ်ရမလဲ မသိဖြစ်နေတတ်ပါတယ်။ တစ်ဆင့်ချင်းသာ ဆင်ခြင်ကြည့်ပါ။ အသေးငယ်ဆုံး ခြေလှမ်းတစ်လှမ်းက အစပါ။
I'm feeling overwhelmed,Feeling overwhelmed is a sign you're carrying too much. It's okay to pause and breathe. What's one thing you can let go of today?
အခက်အခဲတွေ အရမ်းများလို့ ငိုချင်နေတယ်,ငိုချင်တဲ့အခါ ငိုခြင်းက မှားတာ မဟုတ်ပါဘူး။ သင့်ရဲ့ ခံစားချက်တွေကို ထုတ်ဖော်ခြင်းက ကျန်းမာပါတယ်။ သင် ခိုင်မာတယ် ဆိုတာ သတိရပါ။
ဘယ်သူ့ကိုမှ မယုံကြည်ချင်တော့ဘူး,ယုံကြည်မှု ပျက်ခြင်းက နာကျင်စေပါတယ်။ သို့သော် လူတိုင်းက တူညီတာ မဟုတ်ပါဘူး။ သင် ပြန်လည် ယုံကြဲမှု ရနိုင်ပါတယ်။ အချိန်ယူပါ။
I feel like giving up,"Feeling like giving up is a heavy burden. But you're still here, still trying. That takes strength. Let's talk about what's weighing on you."
စိတ်ပျက်အားငယ်နေတယ်,စိတ်ပျက်မှုက ယာယီသာ ဖြစ်ပါတယ်။ သင့်ရဲ့ ခံစားချက်တွေကို လက်ခံပါ။ အနားယူပြီး နောက်တစ်ကြိမ် ကြိုးစားကြည့်နိုင်ပါတယ်။
I'm worried about the future,"Worrying about the future is natural, but remember that you can only control what's happening now. Focus on today and take small steps forward."
အားမရဘူး ဘာမှမလုပ်ချင်ဘူး,စွမ်းအင်ကုန်နေတာ စိတ်ကျန်းမာရေး လက္ခဏာ ဖြစ်နိုင်ပါတယ်။ နားချိန်ယူပါ။ အသေးငယ်ဆုံး ပန်းတိုင်တွေကို စပါ။ ကျွမ်းကျင်သူ တစ်ဦးဦးကို ပြနိုင်ရင် ပိုကောင်းပါတယ်။
ဘဝမှာ အဓိပ္ပာယ်မရှိဘူး ထင်နေတယ်,ဘဝရဲ့ အဓိပ္ပာယ်ကို မတွေ့တဲ့အခါ စိတ်ဓာတ်ကျနိုင်ပါတယ်။ သို့သော် သင့်ဘဝမှာ တန်ဖိုးရှိပါတယ်။ သေးငယ်တဲ့ ပျော်ရွှင်မှုလေးတွေကို ရှာကြည့်ပါ။
I feel disconnected from everyone,"Feeling disconnected is lonely. Sometimes we need to reach out, even when it's hard. Is there one person you could connect with today?"
